gene_id	length
TRINITY_DN19298_c3_g4	1569
TRINITY_DN20401_c2_g2	421
TRINITY_DN20401_c2_g3	320
TRINITY_DN33345_c0_g1	205
TRINITY_DN20401_c2_g1	2400
TRINITY_DN15707_c0_g1	2807
TRINITY_DN28687_c0_g1	226
TRINITY_DN20401_c2_g4	543
TRINITY_DN20050_c0_g1	223
TRINITY_DN34455_c0_g1	419
TRINITY_DN24495_c2_g3	2327
TRINITY_DN10495_c0_g1	444
TRINITY_DN12306_c0_g1	1044
TRINITY_DN16430_c0_g1	1312
TRINITY_DN16430_c0_g3	1161
TRINITY_DN16430_c0_g2	262
TRINITY_DN16430_c0_g5	596
TRINITY_DN16430_c0_g4	1023
TRINITY_DN19923_c1_g2	211
TRINITY_DN19923_c1_g1	303
TRINITY_DN19194_c2_g1	1538
TRINITY_DN25377_c1_g1	437
TRINITY_DN25377_c1_g2	1028
TRINITY_DN40683_c0_g1	231
TRINITY_DN25377_c1_g4	243
TRINITY_DN25377_c1_g5	488
TRINITY_DN25377_c1_g6	1334
TRINITY_DN25377_c1_g7	292
TRINITY_DN19600_c1_g1	966
TRINITY_DN19600_c1_g2	5991
TRINITY_DN19600_c1_g3	1005
TRINITY_DN19600_c1_g4	312
TRINITY_DN19600_c1_g5	662
TRINITY_DN26691_c0_g1	429
TRINITY_DN19600_c1_g7	488
TRINITY_DN22133_c0_g1	250
TRINITY_DN18126_c0_g2	363
TRINITY_DN18126_c0_g1	375
TRINITY_DN5301_c0_g1	288
TRINITY_DN48477_c0_g1	271
TRINITY_DN20990_c0_g1	301
TRINITY_DN41936_c0_g1	208
TRINITY_DN20449_c2_g2	845
TRINITY_DN12678_c0_g1	860
TRINITY_DN20449_c2_g1	4882
TRINITY_DN22802_c2_g7	453
TRINITY_DN53156_c0_g1	221
TRINITY_DN38543_c0_g1	338
TRINITY_DN23652_c1_g4	2411
TRINITY_DN23652_c1_g5	1752
TRINITY_DN19809_c2_g1	208
TRINITY_DN23652_c1_g1	1909
TRINITY_DN23652_c1_g2	366
TRINITY_DN23652_c1_g3	1130
TRINITY_DN19347_c6_g3	367
TRINITY_DN19347_c6_g2	666
TRINITY_DN19347_c6_g1	220
TRINITY_DN22162_c6_g1	289
TRINITY_DN37454_c0_g1	347
TRINITY_DN20156_c0_g1	1290
TRINITY_DN17972_c3_g1	3117
TRINITY_DN17972_c3_g2	3572
TRINITY_DN22802_c2_g2	382
TRINITY_DN27672_c0_g1	311
TRINITY_DN22802_c2_g1	244
TRINITY_DN18069_c4_g1	3225
TRINITY_DN18292_c5_g3	320
TRINITY_DN18292_c5_g1	1569
TRINITY_DN34571_c0_g1	345
TRINITY_DN18523_c2_g1	611
TRINITY_DN18292_c5_g4	931
TRINITY_DN35010_c0_g1	256
TRINITY_DN21328_c1_g1	829
TRINITY_DN21328_c1_g2	1714
TRINITY_DN21328_c1_g3	779
TRINITY_DN21328_c1_g4	5154
TRINITY_DN21328_c1_g5	326
TRINITY_DN16902_c3_g1	2766
TRINITY_DN41101_c0_g1	308
TRINITY_DN25272_c6_g1	254
TRINITY_DN19297_c4_g6	352
TRINITY_DN46521_c0_g1	274
TRINITY_DN1640_c0_g1	353
TRINITY_DN31120_c0_g1	986
TRINITY_DN21228_c3_g2	263
TRINITY_DN18798_c9_g1	216
TRINITY_DN17006_c2_g2	333
TRINITY_DN17006_c2_g1	374
TRINITY_DN20346_c7_g1	4746
TRINITY_DN14012_c1_g1	278
TRINITY_DN21042_c1_g1	326
TRINITY_DN20346_c7_g2	2436
TRINITY_DN27542_c0_g1	289
TRINITY_DN24278_c0_g1	486
TRINITY_DN39409_c0_g1	387
TRINITY_DN32645_c0_g1	204
TRINITY_DN35311_c0_g1	240
TRINITY_DN41360_c0_g1	214
TRINITY_DN29154_c0_g1	213
TRINITY_DN42136_c0_g1	258
TRINITY_DN23221_c3_g4	717
TRINITY_DN16950_c8_g3	608
TRINITY_DN16950_c8_g1	1727
TRINITY_DN16950_c8_g6	271
TRINITY_DN23221_c3_g1	3261
TRINITY_DN23221_c3_g2	3277
TRINITY_DN23221_c3_g3	1202
TRINITY_DN22806_c3_g3	525
TRINITY_DN35113_c0_g1	215
TRINITY_DN7987_c0_g1	268
TRINITY_DN3450_c0_g1	2669
TRINITY_DN50831_c0_g1	390
TRINITY_DN9903_c0_g1	674
TRINITY_DN43493_c0_g1	210
TRINITY_DN23701_c2_g1	2113
TRINITY_DN19214_c1_g3	3454
TRINITY_DN19214_c1_g2	5074
TRINITY_DN19214_c1_g1	7115
TRINITY_DN17227_c0_g8	995
TRINITY_DN17227_c0_g9	627
TRINITY_DN19308_c0_g2	799
TRINITY_DN19308_c0_g3	785
TRINITY_DN19308_c0_g1	2606
TRINITY_DN20689_c1_g1	241
TRINITY_DN19308_c0_g4	478
TRINITY_DN19308_c0_g5	238
TRINITY_DN44666_c0_g1	550
TRINITY_DN17396_c9_g2	3466
TRINITY_DN17396_c9_g1	1202
TRINITY_DN16798_c1_g2	3411
TRINITY_DN20940_c1_g1	443
TRINITY_DN24609_c7_g1	203
TRINITY_DN23680_c2_g8	1128
TRINITY_DN23680_c2_g9	213
TRINITY_DN25005_c2_g2	1168
TRINITY_DN19690_c0_g1	1229
TRINITY_DN23680_c2_g1	3892
TRINITY_DN46820_c0_g1	256
TRINITY_DN23680_c2_g3	691
TRINITY_DN23680_c2_g4	1438
TRINITY_DN23680_c2_g5	300
TRINITY_DN23680_c2_g6	2385
TRINITY_DN23680_c2_g7	296
TRINITY_DN21775_c1_g1	941
TRINITY_DN22230_c4_g1	1082
TRINITY_DN22230_c4_g2	288
TRINITY_DN18498_c0_g1	984
TRINITY_DN456_c0_g1	246
TRINITY_DN10099_c0_g1	761
TRINITY_DN23120_c4_g1	304
TRINITY_DN17227_c0_g5	1935
TRINITY_DN24255_c0_g1	1576
TRINITY_DN17083_c9_g1	394
TRINITY_DN17752_c4_g1	3595
TRINITY_DN17752_c4_g2	375
TRINITY_DN46508_c0_g1	520
TRINITY_DN20359_c8_g1	1652
TRINITY_DN25540_c2_g5	651
TRINITY_DN52778_c0_g1	244
TRINITY_DN17533_c2_g7	218
TRINITY_DN33260_c0_g1	269
TRINITY_DN21232_c5_g1	689
TRINITY_DN21826_c1_g1	1900
TRINITY_DN20344_c2_g1	293
TRINITY_DN18837_c0_g1	1638
TRINITY_DN18837_c0_g2	2546
TRINITY_DN18837_c0_g3	265
TRINITY_DN14065_c0_g1	746
TRINITY_DN28579_c0_g1	268
TRINITY_DN19099_c5_g1	2554
TRINITY_DN25540_c2_g1	1697
TRINITY_DN27806_c0_g1	245
TRINITY_DN23909_c6_g2	6784
TRINITY_DN23909_c6_g1	400
TRINITY_DN19766_c0_g2	463
TRINITY_DN25540_c2_g3	1781
TRINITY_DN19766_c0_g1	952
TRINITY_DN21688_c1_g1	1905
TRINITY_DN33146_c0_g1	219
TRINITY_DN15224_c0_g1	1864
TRINITY_DN16984_c3_g1	707
TRINITY_DN20724_c1_g1	1053
TRINITY_DN25555_c9_g1	336
TRINITY_DN10136_c0_g1	379
TRINITY_DN24735_c0_g2	930
TRINITY_DN24735_c0_g1	2789
TRINITY_DN54438_c0_g1	245
TRINITY_DN24735_c0_g4	302
TRINITY_DN24735_c0_g5	450
TRINITY_DN19885_c1_g3	359
TRINITY_DN19885_c1_g2	2285
TRINITY_DN19885_c1_g1	3881
TRINITY_DN19885_c1_g7	259
TRINITY_DN19885_c1_g6	641
TRINITY_DN19885_c1_g5	2055
TRINITY_DN19885_c1_g4	2923
TRINITY_DN2687_c0_g1	409
TRINITY_DN19885_c1_g9	2500
TRINITY_DN19885_c1_g8	305
TRINITY_DN22196_c0_g1	303
TRINITY_DN34883_c0_g1	311
TRINITY_DN20932_c3_g2	312
TRINITY_DN18026_c10_g1	225
TRINITY_DN23765_c8_g1	284
TRINITY_DN17672_c0_g2	387
TRINITY_DN17672_c0_g3	206
TRINITY_DN17672_c0_g1	358
TRINITY_DN20717_c7_g2	452
TRINITY_DN20717_c7_g1	1350
TRINITY_DN23566_c0_g1	360
TRINITY_DN19698_c3_g4	680
TRINITY_DN17120_c3_g2	556
TRINITY_DN19698_c3_g1	8024
TRINITY_DN19698_c3_g3	514
TRINITY_DN19698_c3_g2	713
TRINITY_DN52230_c0_g1	559
TRINITY_DN21497_c2_g8	1441
TRINITY_DN17627_c0_g1	333
TRINITY_DN19093_c2_g2	282
TRINITY_DN21139_c6_g1	208
TRINITY_DN21497_c2_g5	502
TRINITY_DN21497_c2_g6	385
TRINITY_DN21497_c2_g7	827
TRINITY_DN52066_c0_g1	317
TRINITY_DN33161_c0_g1	447
TRINITY_DN21497_c2_g3	305
TRINITY_DN25484_c4_g2	309
TRINITY_DN21861_c8_g4	321
TRINITY_DN25484_c4_g1	3081
TRINITY_DN21861_c8_g1	713
TRINITY_DN21861_c8_g3	342
TRINITY_DN21861_c8_g2	444
TRINITY_DN25490_c2_g3	455
TRINITY_DN25490_c2_g2	623
TRINITY_DN25490_c2_g1	601
TRINITY_DN19612_c1_g2	486
TRINITY_DN24749_c4_g6	1324
TRINITY_DN22380_c3_g1	2072
TRINITY_DN45579_c0_g1	229
TRINITY_DN30435_c0_g1	225
TRINITY_DN9792_c0_g1	1150
TRINITY_DN1968_c0_g1	1079
TRINITY_DN17681_c8_g1	2680
TRINITY_DN43023_c0_g1	205
TRINITY_DN20326_c3_g4	710
TRINITY_DN53701_c0_g1	290
TRINITY_DN20508_c4_g1	221
TRINITY_DN23192_c5_g1	1437
TRINITY_DN17422_c3_g1	353
TRINITY_DN24749_c4_g5	629
TRINITY_DN20768_c2_g1	362
TRINITY_DN21571_c1_g1	284
TRINITY_DN21571_c1_g2	1568
TRINITY_DN24003_c0_g2	825
TRINITY_DN24003_c0_g3	544
TRINITY_DN24003_c0_g1	1995
TRINITY_DN18867_c2_g1	404
TRINITY_DN35528_c0_g1	232
TRINITY_DN21183_c5_g3	206
TRINITY_DN21183_c5_g2	388
TRINITY_DN21183_c5_g1	4819
TRINITY_DN23448_c10_g1	359
TRINITY_DN21183_c5_g4	252
TRINITY_DN44700_c0_g1	232
TRINITY_DN3063_c0_g1	618
TRINITY_DN31887_c0_g1	400
TRINITY_DN54542_c0_g1	340
TRINITY_DN22120_c1_g1	294
TRINITY_DN17482_c2_g1	1420
TRINITY_DN25502_c2_g4	2539
TRINITY_DN24400_c2_g1	203
TRINITY_DN43321_c0_g1	361
TRINITY_DN53507_c0_g1	309
TRINITY_DN22289_c0_g1	259
TRINITY_DN42203_c0_g1	266
TRINITY_DN22398_c0_g3	667
TRINITY_DN41220_c0_g1	340
TRINITY_DN22398_c0_g1	2754
TRINITY_DN5912_c0_g1	284
TRINITY_DN20488_c4_g4	208
TRINITY_DN4527_c0_g1	1031
TRINITY_DN17853_c3_g2	457
TRINITY_DN17853_c3_g3	500
TRINITY_DN17853_c3_g1	499
TRINITY_DN47822_c0_g1	290
TRINITY_DN24297_c1_g1	293
TRINITY_DN19587_c0_g1	246
TRINITY_DN24297_c1_g3	11740
TRINITY_DN24297_c1_g4	1776
TRINITY_DN24297_c1_g5	512
TRINITY_DN24297_c1_g6	890
TRINITY_DN54839_c0_g1	293
TRINITY_DN20971_c1_g1	256
TRINITY_DN24297_c1_g9	516
TRINITY_DN25606_c3_g1	253
TRINITY_DN4263_c0_g2	386
TRINITY_DN19354_c2_g3	298
TRINITY_DN19354_c2_g2	570
TRINITY_DN19354_c2_g1	3067
TRINITY_DN19354_c2_g6	939
TRINITY_DN19354_c2_g5	3069
TRINITY_DN19354_c2_g4	1300
TRINITY_DN22417_c1_g3	413
TRINITY_DN15687_c2_g1	260
TRINITY_DN3646_c0_g1	538
TRINITY_DN28201_c0_g1	361
TRINITY_DN11142_c0_g2	461
TRINITY_DN23994_c0_g1	2047
TRINITY_DN18644_c3_g1	296
TRINITY_DN18644_c3_g2	363
TRINITY_DN18604_c4_g4	376
TRINITY_DN50686_c0_g1	340
TRINITY_DN23916_c2_g1	494
TRINITY_DN18604_c4_g1	1393
TRINITY_DN18604_c4_g2	1271
TRINITY_DN18604_c4_g3	201
TRINITY_DN18624_c3_g3	283
TRINITY_DN18624_c3_g2	1425
TRINITY_DN18624_c3_g1	783
TRINITY_DN43242_c0_g1	220
TRINITY_DN13061_c0_g1	1429
TRINITY_DN22676_c1_g1	334
TRINITY_DN23857_c1_g2	1878
TRINITY_DN23857_c1_g1	1944
TRINITY_DN3288_c0_g1	221
TRINITY_DN35775_c0_g1	370
TRINITY_DN18781_c5_g3	772
TRINITY_DN18781_c5_g2	2338
TRINITY_DN18781_c5_g1	3060
TRINITY_DN21031_c6_g1	531
TRINITY_DN21031_c6_g2	438
TRINITY_DN11058_c0_g1	459
TRINITY_DN52651_c0_g1	246
TRINITY_DN45093_c0_g1	885
TRINITY_DN20248_c1_g2	466
TRINITY_DN10149_c0_g1	563
TRINITY_DN14374_c0_g1	872
TRINITY_DN14374_c0_g2	273
TRINITY_DN21951_c5_g1	2020
TRINITY_DN30063_c0_g1	202
TRINITY_DN35502_c0_g1	371
TRINITY_DN19332_c0_g8	488
TRINITY_DN21226_c2_g2	346
TRINITY_DN31906_c0_g1	243
TRINITY_DN50156_c0_g1	210
TRINITY_DN23178_c3_g1	6595
TRINITY_DN33496_c0_g1	202
TRINITY_DN23178_c3_g3	480
TRINITY_DN23178_c3_g2	814
TRINITY_DN39770_c0_g1	300
TRINITY_DN19092_c4_g1	1211
TRINITY_DN25814_c0_g1	283
TRINITY_DN39553_c0_g1	367
TRINITY_DN19795_c5_g1	4957
TRINITY_DN48420_c0_g1	369
TRINITY_DN19131_c1_g1	278
TRINITY_DN5050_c0_g1	323
TRINITY_DN24506_c3_g1	832
TRINITY_DN20888_c2_g2	255
TRINITY_DN5689_c0_g1	406
TRINITY_DN17436_c0_g1	317
TRINITY_DN19575_c10_g1	275
TRINITY_DN12444_c0_g1	1558
TRINITY_DN20154_c0_g1	502
TRINITY_DN30786_c0_g1	201
TRINITY_DN22361_c0_g1	237
TRINITY_DN32190_c0_g1	275
TRINITY_DN23833_c1_g1	220
TRINITY_DN22530_c2_g4	674
TRINITY_DN22530_c2_g7	613
TRINITY_DN16693_c0_g1	422
TRINITY_DN22530_c2_g1	3915
TRINITY_DN39014_c0_g1	400
TRINITY_DN22530_c2_g3	1272
TRINITY_DN22530_c2_g2	4508
TRINITY_DN53672_c0_g1	383
TRINITY_DN41851_c0_g1	249
TRINITY_DN24617_c4_g1	322
TRINITY_DN18264_c15_g1	233
TRINITY_DN17931_c4_g3	829
TRINITY_DN42392_c0_g1	231
TRINITY_DN17931_c4_g1	5963
TRINITY_DN18388_c5_g1	240
TRINITY_DN33259_c0_g1	327
TRINITY_DN20867_c2_g6	935
TRINITY_DN45151_c0_g1	251
TRINITY_DN43929_c0_g1	801
TRINITY_DN22946_c0_g4	482
TRINITY_DN28263_c0_g1	229
TRINITY_DN21255_c4_g2	422
TRINITY_DN53300_c0_g1	698
TRINITY_DN17312_c1_g1	4278
TRINITY_DN18524_c2_g2	1237
TRINITY_DN23168_c3_g2	1874
TRINITY_DN23168_c3_g3	486
TRINITY_DN23168_c3_g1	2201
TRINITY_DN36979_c0_g1	357
TRINITY_DN23168_c3_g4	1029
TRINITY_DN19074_c6_g2	275
TRINITY_DN9993_c0_g1	230
TRINITY_DN19074_c6_g1	611
TRINITY_DN19074_c6_g4	231
TRINITY_DN19074_c6_g5	972
TRINITY_DN38412_c0_g1	252
TRINITY_DN20778_c2_g1	389
TRINITY_DN17141_c0_g1	1420
TRINITY_DN20778_c2_g2	336
TRINITY_DN54641_c0_g1	218
TRINITY_DN19816_c1_g2	848
TRINITY_DN19816_c1_g1	2428
TRINITY_DN19816_c1_g5	2168
TRINITY_DN19816_c1_g4	1334
TRINITY_DN22662_c1_g2	296
TRINITY_DN22662_c1_g3	233
TRINITY_DN22662_c1_g1	461
TRINITY_DN20806_c2_g1	552
TRINITY_DN19675_c9_g1	370
TRINITY_DN10676_c0_g1	571
TRINITY_DN23570_c2_g1	1389
TRINITY_DN22287_c2_g3	255
TRINITY_DN36968_c0_g1	296
TRINITY_DN23604_c2_g1	1585
TRINITY_DN17600_c1_g1	3035
TRINITY_DN24820_c2_g1	954
TRINITY_DN23819_c7_g1	229
TRINITY_DN19282_c4_g1	341
TRINITY_DN48128_c0_g1	373
TRINITY_DN27616_c0_g1	246
TRINITY_DN2895_c0_g1	312
TRINITY_DN12626_c0_g1	2249
TRINITY_DN24584_c0_g1	1586
TRINITY_DN23072_c8_g1	313
TRINITY_DN40816_c0_g1	306
TRINITY_DN8675_c0_g1	1253
TRINITY_DN19037_c10_g1	228
TRINITY_DN4843_c0_g1	303
TRINITY_DN28352_c0_g1	258
TRINITY_DN21105_c2_g1	3218
TRINITY_DN20159_c0_g1	234
TRINITY_DN6874_c0_g1	493
TRINITY_DN23689_c0_g2	233
TRINITY_DN23689_c0_g1	473
TRINITY_DN18454_c1_g1	3761
TRINITY_DN35798_c0_g1	238
TRINITY_DN38370_c0_g1	451
TRINITY_DN23002_c2_g1	383
TRINITY_DN46933_c0_g1	230
TRINITY_DN6048_c0_g1	459
TRINITY_DN21513_c5_g2	621
TRINITY_DN21513_c5_g3	1538
TRINITY_DN20837_c0_g1	456
TRINITY_DN39429_c0_g1	341
TRINITY_DN33470_c0_g1	227
TRINITY_DN19416_c3_g1	208
TRINITY_DN20567_c13_g1	384
TRINITY_DN19200_c5_g1	1247
TRINITY_DN19200_c5_g2	580
TRINITY_DN19200_c5_g3	664
TRINITY_DN19200_c5_g4	248
TRINITY_DN11442_c0_g1	305
TRINITY_DN22728_c0_g2	1962
TRINITY_DN40312_c0_g1	233
TRINITY_DN29225_c0_g1	211
TRINITY_DN36403_c0_g1	278
TRINITY_DN25403_c1_g10	923
TRINITY_DN25563_c2_g1	298
TRINITY_DN25563_c2_g2	213
TRINITY_DN25563_c2_g3	206
TRINITY_DN36596_c0_g1	348
TRINITY_DN17339_c6_g1	3127
TRINITY_DN18123_c5_g3	811
TRINITY_DN22229_c4_g1	343
TRINITY_DN18572_c3_g1	330
TRINITY_DN22052_c2_g1	231
TRINITY_DN24779_c2_g1	341
TRINITY_DN20077_c7_g7	685
TRINITY_DN24946_c0_g2	4946
TRINITY_DN24276_c1_g5	671
TRINITY_DN6187_c0_g1	515
TRINITY_DN24276_c1_g3	801
TRINITY_DN25147_c0_g1	3680
TRINITY_DN25147_c0_g2	568
TRINITY_DN25147_c0_g3	317
TRINITY_DN18432_c2_g3	579
TRINITY_DN18432_c2_g2	1088
TRINITY_DN18432_c2_g1	220
TRINITY_DN18800_c5_g1	275
TRINITY_DN28020_c0_g1	1024
TRINITY_DN18800_c5_g3	512
TRINITY_DN18800_c5_g2	226
TRINITY_DN21170_c0_g2	301
TRINITY_DN49798_c0_g1	321
TRINITY_DN18344_c2_g1	458
TRINITY_DN21170_c0_g1	1414
TRINITY_DN22412_c7_g1	417
TRINITY_DN20077_c7_g3	334
TRINITY_DN2561_c0_g1	546
TRINITY_DN14931_c0_g1	1480
TRINITY_DN20970_c0_g1	1481
TRINITY_DN52227_c0_g1	244
TRINITY_DN20970_c0_g2	278
TRINITY_DN6139_c0_g1	208
TRINITY_DN29182_c0_g1	472
TRINITY_DN22429_c1_g1	1197
TRINITY_DN21262_c1_g2	1424
TRINITY_DN8225_c0_g1	405
TRINITY_DN18025_c5_g2	2853
TRINITY_DN24808_c3_g1	248
TRINITY_DN24821_c3_g1	226
TRINITY_DN18025_c5_g1	248
TRINITY_DN42603_c0_g1	224
TRINITY_DN20885_c8_g4	954
TRINITY_DN23879_c4_g1	568
TRINITY_DN23879_c4_g2	1649
TRINITY_DN20885_c8_g7	330
TRINITY_DN17967_c4_g3	317
TRINITY_DN23637_c0_g1	261
TRINITY_DN17967_c4_g1	203
TRINITY_DN20885_c8_g3	509
TRINITY_DN22113_c6_g1	202
TRINITY_DN9220_c0_g1	238
TRINITY_DN24571_c3_g2	1131
TRINITY_DN14182_c0_g1	940
TRINITY_DN17112_c2_g1	206
TRINITY_DN25623_c5_g3	232
TRINITY_DN19122_c1_g9	211
TRINITY_DN11935_c0_g1	234
TRINITY_DN11935_c0_g2	405
TRINITY_DN21481_c2_g4	799
TRINITY_DN18651_c5_g1	1057
TRINITY_DN16944_c6_g1	262
TRINITY_DN18651_c5_g2	955
TRINITY_DN47740_c0_g1	201
TRINITY_DN21184_c1_g1	2577
TRINITY_DN21184_c1_g2	535
TRINITY_DN22338_c3_g3	1633
TRINITY_DN13873_c0_g1	2091
TRINITY_DN22338_c3_g5	252
TRINITY_DN22338_c3_g6	1659
TRINITY_DN22338_c3_g7	398
TRINITY_DN16931_c1_g1	2539
TRINITY_DN30177_c0_g1	224
TRINITY_DN17443_c9_g1	2360
TRINITY_DN6566_c0_g1	282
TRINITY_DN23490_c0_g3	321
TRINITY_DN34262_c0_g1	248
TRINITY_DN23636_c0_g4	380
TRINITY_DN2663_c0_g1	610
TRINITY_DN17828_c3_g1	2683
TRINITY_DN7378_c0_g1	378
TRINITY_DN24232_c1_g3	1035
TRINITY_DN33386_c0_g1	259
TRINITY_DN21384_c1_g1	246
TRINITY_DN15021_c0_g1	2334
TRINITY_DN51500_c0_g1	214
TRINITY_DN19691_c5_g2	281
TRINITY_DN23083_c0_g1	4427
TRINITY_DN7358_c0_g1	402
TRINITY_DN22728_c0_g5	848
TRINITY_DN50935_c0_g1	389
TRINITY_DN16830_c4_g1	2086
TRINITY_DN17056_c12_g1	1778
TRINITY_DN17056_c12_g2	1189
TRINITY_DN16830_c4_g2	2917
TRINITY_DN16830_c4_g5	2547
TRINITY_DN16830_c4_g4	1435
TRINITY_DN16830_c4_g6	231
TRINITY_DN22689_c0_g1	1584
TRINITY_DN22689_c0_g2	740
TRINITY_DN22689_c0_g3	1479
TRINITY_DN22689_c0_g4	2933
TRINITY_DN22689_c0_g5	1102
TRINITY_DN22558_c10_g2	225
TRINITY_DN37341_c0_g1	334
TRINITY_DN43509_c0_g1	261
TRINITY_DN18910_c4_g2	227
TRINITY_DN16204_c1_g1	207
TRINITY_DN18994_c0_g1	266
TRINITY_DN38604_c0_g1	530
TRINITY_DN49589_c0_g1	447
TRINITY_DN32343_c0_g1	1830
TRINITY_DN16271_c0_g2	318
TRINITY_DN16920_c7_g1	232
TRINITY_DN26524_c0_g1	227
TRINITY_DN41723_c0_g1	261
TRINITY_DN23870_c0_g1	741
TRINITY_DN22709_c3_g1	4177
TRINITY_DN23870_c0_g3	2614
TRINITY_DN23870_c0_g2	1423
TRINITY_DN16271_c0_g1	718
TRINITY_DN50344_c0_g1	458
TRINITY_DN19631_c2_g1	580
TRINITY_DN44622_c0_g1	418
TRINITY_DN22307_c3_g8	436
TRINITY_DN1270_c0_g1	482
TRINITY_DN17730_c2_g1	217
TRINITY_DN1067_c0_g1	215
TRINITY_DN1189_c0_g1	272
